,Temporada,round,game_id,date,fixture,team_id,team_name,possession,opponent_possession,place,PPDA,defensive_intensity,defensive_duels_won_%,defensive_height,opposition_pass_tempo,opposition_progression_percentage,opp_final_third_to_box_%,Opposition_xT,high_turnovers,turnover_line_height,recoveries_within_5s_%,avg_time_to_defensive_action,avg_recovery_time,opposition_final_third_entries_10s,opposition_box_entries_10s,opposition_xG_10s,recoveries,recovery_height,retained_possessions_5s,retained_possessions_5s_%,final_third_entries_10s,box_entries_10s,xG_10s,xT_10s,field_tilt_%,long_ball_%,pass_tempo,final_third_entries_%,final_third_to_box_entries_%,xT,penalty_area_touches,box_entries_to_shot_%,np_shots,high_opportunity_shots,np_xg,np_goals,xg_per_shot,ball_in_play,expected_points,win_probability,total_xg,goal_difference,goals_conceded,goals_scored
0,2024,1,1806862,2024-04-13,Criciuma 1 x 1 Juventude,2066,Criciuma,41.43,58.57,Casa,16.27777777777778,71,0.7794117647058824,31.866,2.134,50.92592592592593,12.5,5.319471779477545,41,58.38064516129032,69.23076923076923,49.375,34.77,12,16.0,0.127,34,30.51,18,52.94117647058824,9,2,0.016816460648766882,0.38753274854203495,48.9572864321608,8.74,2.685,31.70731707317073,17.77777777777778,3.8299543628361765,37,33.33333333333333,10,2,0.8314213604707268,1.0,0.08314213604707268,24.216666666666665,1.0932161151824766,0.2392366999716703,0.8314213604707268,0,1,1
1,2024,1,1806862,2024-04-13,Criciuma 1 x 1 Juventude,1220,Juventude,58.57,41.43,Fora,16.42105263157895,82,0.9333333333333333,36.615533980582526,2.685,31.70731707317073,17.77777777777778,3.8299543628361765,26,68.62680412371134,44.0,36.31460674157304,30.01,9,7.0,0.017,35,37.67,23,65.71428571428571,12,4,0.05023211048944834,0.858780644367915,51.04271356783919,8.66,2.134,50.92592592592593,12.5,5.319471779477545,57,20.0,15,1,0.5867147555300661,1.0,0.03911431703533774,34.233333333333334,1.531277864813136,0.3852572831818901,0.5867147555300661,0,1,1
2,2024,1,1806916,2024-04-13,Internacional 2 x 1 Bahia,1219,Internacional,58.09,41.91,Casa,16.73913043478261,91,0.9104477611940298,42.943636363636365,2.747,29.545454545454547,25.0,4.77780498418492,15,72.01379310344828,39.130434782608695,36.4,28.27,9,1.0,0.0,35,46.4,23,65.71428571428571,16,6,0.10475301349011655,0.585820573185937,56.34497986751526,8.84,2.012,51.4018691588785,20.833333333333336,5.17139010700968,57,38.88888888888889,17,3,1.627506983581715,2.0,0.09573570491657148,32.71666666666667,0.6351295917237184,0.13127260279207723,1.627506983581715,1,1,2
3,2024,1,1806916,2024-04-13,Internacional 2 x 1 Bahia,1221,Bahia,41.91,58.09,Fora,12.413793103448276,71,0.7857142857142857,29.081818181818182,2.012,51.4018691588785,20.833333333333336,5.17139010700968,37,58.73061224489796,23.076923076923077,32.7906976744186,30.92,16,9.0,0.0,32,29.85,18,56.25,9,2,0.0,0.41692074186738626,43.65502013248474,6.0,2.747,29.545454545454547,25.0,4.77780498418492,36,50.0,9,1,0.5882902250796762,1.0,0.06536558056440847,23.6,2.1235550072644553,0.6274144079723228,0.5882902250796762,-1,2,1
4,2024,1,1806858,2024-04-14,Corinthians 0 x 0 Atletico MG,1237,Corinthians,54.12,45.88,Casa,15.944444444444445,65,0.8709677419354839,39.36630434782609,2.308,39.21568627450981,13.953488372093023,3.6941564326332577,19,67.57790697674419,44.44444444444444,39.68,37.2,8,5.0,0.0,25,38.9,13,52.0,13,1,0.0,0.34534639094463004,51.25080179602309,9.06,2.309,43.24324324324324,19.230769230769234,3.586853387761453,53,31.25,14,1,0.6962047539383532,0.0,0.04972891099559666,28.866666666666667,0.809695409042446,0.11660046913726436,0.6962047539383532,0,0,0
5,2024,1,1806858,2024-04-14,Corinthians 0 x 0 Atletico MG,1235,Atletico MG,45.88,54.12,Fora,17.46153846153846,71,0.9464285714285714,34.611999999999995,2.309,43.24324324324324,19.230769230769234,3.586853387761453,27,64.14800000000001,33.33333333333333,40.91358024691358,45.49,13,2.0,0.233,29,35.47,17,58.620689655172406,8,2,0.0,0.44433056926732595,48.74919820397691,6.27,2.308,39.21568627450981,13.953488372093023,3.6941564326332577,27,28.57142857142857,8,0,0.2432019437970943,0.0,0.03040024297463679,24.466666666666665,1.7304105885863534,0.4235055289852335,0.2432019437970943,0,0,0
6,2024,1,1806859,2024-04-14,Sao Paulo 1 x 2 Fortaleza,1224,Sao Paulo,68.71,31.29,Casa,10.31578947368421,78,0.8405797101449275,37.20729166666667,5.247,31.40495867768595,16.216216216216218,3.7552578790805127,20,71.135,60.86956521739131,31.852272727272727,23.03,16,1.0,0.041,37,36.74,26,70.27027027027027,11,3,0.0,0.5005823642002943,57.66732935719019,7.23,2.021,54.03225806451613,18.6046511627907,6.530470032171236,79,22.727272727272727,14,0,0.6302074313266651,1.0,0.04501481652333322,37.95,0.7977636385712157,0.1015706940826389,0.6302074313266651,-1,2,1
7,2024,1,1806859,2024-04-14,Sao Paulo 1 x 2 Fortaleza,2065,Fortaleza,31.29,68.71,Fora,26.0,88,0.8928571428571429,27.287394957983192,2.021,54.03225806451613,18.6046511627907,6.530470032171236,49,59.1375,43.75,36.191489361702125,36.3,11,7.0,0.036,49,33.7,26,53.06122448979592,16,4,0.05505017040468206,0.5546781957877418,42.3326706428098,15.08,5.247,31.40495867768595,16.216216216216218,3.7552578790805127,20,57.14285714285714,6,0,0.1980627296175446,2.0,0.033010454936257434,17.283333333333335,1.709184804842508,0.40537774950640304,0.1980627296175446,1,1,2
8,2024,1,1806860,2024-04-14,Athletico Paranaense 4 x 0 Cuiaba,8938,Cuiaba,36.46,63.54,Fora,12.96,67,0.896551724137931,28.856565656565657,1.491,56.41025641025641,32.3943661971831,8.38335069597685,27,58.361111111111114,62.5,47.06410256410256,43.62,11,9.0,0.382,25,35.07,16,64.0,4,1,0.0,0.329417149633632,36.72631270167204,8.15,2.538,25.0,12.0,2.5570660525615665,12,0.0,1,1,0.5194024429413888,0.0,0.5194024429413888,20.533333333333335,2.3871873671057364,0.7347821353008247,0.5194024429413888,-4,4,0
9,2024,1,1806860,2024-04-14,Athletico Paranaense 4 x 0 Cuiaba,1243,Athletico Paranaense,63.54,36.46,Casa,15.789473684210526,73,0.9454545454545454,40.613414634146345,2.538,25.0,12.0,2.5570660525615665,19,70.90886075949368,47.368421052631575,40.472972972972975,32.23,4,1.0,0.0,36,41.82,30,83.33333333333334,11,6,0.11192185405874475,0.6418219650672293,63.27368729832795,7.61,1.491,56.41025641025641,32.3943661971831,8.38335069597685,81,27.586206896551722,20,4,2.0477420932744073,4.0,0.10238710466372036,35.78333333333333,0.4299407259408409,0.08236658824585955,2.0477420932744073,4,0,4
