,clube,Posse mantida em 5s (%),Entradas do adversário na área em 10s da recuperação da posse,Altura da perda de posse (m),Entradas no último terço (%),xT (Ameaça esperada),Entradas do adversário no último terço em 10s da recuperação da posse,PPDA,Velocidade do passe,Velocidade do passe adversário,Bola longa (%),Intensidade defensiva,Duelos defensivos vencidos (%)
0,Athletico Paranaense,-0.46417692096749696,-0.37488663036678044,0.03170303409188363,-0.09712219625165734,-0.5961693774545083,-0.20348960340932357,1.0718242904652429,1.5684539003254505,0.04930168320945262,2.208404460825922,0.642805993320763,0.0597254259467319
1,Atletico GO,0.45009351599275643,-0.7801694740065429,-0.11404082606343174,0.08228139491255489,-0.6433960557699169,-1.2370875889804922,0.2902564309059122,0.9222729468224743,-0.75772243593584,-0.03398799809639255,1.4076176567618979,0.5916066198918261
2,Atletico MG,-1.632656201126439,-0.47620734127672115,-0.39381910921393287,-0.31889029467404595,-1.103253528563235,-0.7202885961949079,-0.21063274289343017,0.7194739124892017,-1.0526861543649266,1.2210104921368234,-0.3405232882464106,-0.23007999911468954
3,Bahia,0.10610048856188668,-0.2735659194568397,0.21530147071327027,0.20902037368644255,0.5677513954134268,-0.07428985521292733,-0.07131088331833857,-0.5539960692651698,-0.22407932411506626,-1.3193792456240925,0.09651194800566715,0.7966671653962492
4,Botafogo RJ,1.703855618546105,1.2462447441922695,2.3109006506632226,2.868119729478026,2.2800853273587056,1.9283062418312122,-2.183457313636448,-1.8405747338471683,-1.0624195338826734,-1.3134489515178518,-0.5226213033514425,-1.9750877477450157
5,Corinthians,-0.6972177280805644,-0.07092449763695872,-1.6182697964255037,-1.2101603004896242,-0.1053584524134255,-1.1078878407840966,0.5741543609846472,-0.44411446321007053,-0.27613174501431687,-0.22968770360234014,-0.15842527314137864,0.11320758330902797
6,Criciuma,-1.328700251000011,-3.110545824935177,-0.9225597208700175,-0.7040979163600822,-1.0637027278851012,-1.4954870853732847,0.819853592183995,1.0807337892387774,1.4441372871438454,0.6087076256674574,2.8644017776021538,-0.19227701357904167
7,Cruzeiro,0.37609475785339364,-0.47620734127672115,-0.38309742646230244,0.027461338823099632,0.3927701282523954,-0.009689981114729502,-1.4707610414519163,-0.7008904268335671,0.2198474199769172,-1.0250884006018914,-1.1053349516875455,2.269507729435907
8,Cuiaba,-0.9008869395872575,-0.37488663036678044,-2.0799064515100945,-1.9110327797116504,-1.6875047146609625,-1.7538865817660771,0.6210130108122971,0.8073791973332825,2.2215380773220854,1.2217517789001033,-1.2145937607505635,1.684023555172146
9,Flamengo,0.1340111028674216,0.9422826114624475,1.2971196485660077,1.1553204435094815,1.8233502999671856,1.6053068713402219,-0.3160419857639836,-1.0501982692403067,-0.375158301847038,-1.287503914803048,0.023672741963653328,-0.30915554378681726
10,Fluminense,1.853170849837366,1.6515275878320321,1.567721952778616,1.5500870833229472,1.5392270021736096,1.476107123143826,-2.136644777546092,-1.9543118348515702,-1.8237390883359414,-1.5647451642698071,-1.1781741577295566,-1.1198936026561541
11,Fortaleza,-0.4588522057153781,0.2330376350928632,-0.11169569931784795,-0.4277468648817252,-1.0345962330020386,0.11950976708166673,0.6002063042011707,0.6616414882496756,1.1957245142344135,1.0260520733941556,-0.7775585244984858,-1.8569166576827822
12,Gremio,-1.521651578115986,-0.5775280521866619,-0.41031569801576473,-0.764451449764108,-0.27771765163542206,0.0549098929834689,0.9010821718980058,0.4719511367440293,1.2613190283757458,-0.15926546109073045,0.35144916915271035,-0.9489375102724312
13,Internacional,0.02361936253506281,1.144924033282329,0.5904926572521086,-0.1727323592676356,0.8377474450676865,0.6363087598672511,0.4797027283876012,-0.5509116733057288,-0.9367319809796045,-0.3690496150989994,0.3878687721737173,0.029147130108634033
14,Juventude,0.01961350642799141,0.4356790569127444,0.34157748566904317,0.7218680119202011,-0.04633588172889361,1.0885078785546376,0.361794869944963,0.26413995897666404,-0.08315691631465635,0.4367290965864732,-0.41336249428842187,0.6507173969964294
15,Palmeiras,-0.712667245201343,0.7396411896425663,0.8063685551647172,0.37491394134472744,-0.18577935355084124,0.11950976708166673,0.2220497266177177,0.27801974079415054,-0.7640702921430659,0.0660857149464213,-0.049166464078357903,0.5755110656476715
16,Red Bull Bragantino,0.25232094175302294,-0.2735659194568397,-0.17004465642228245,-0.149270838806115,-0.4630664185910529,-0.2680894775075214,0.9059187719091629,1.182904405395274,-0.31083335894715153,0.9704555661481484,0.023672741963653328,0.26049911825854505
17,Sao Paulo,1.7488499340472754,0.9422826114624475,-0.022331487819126736,-0.026981266696356976,0.5190529261559896,0.8301083821618455,-1.6190389681412578,-1.3821563843751887,-0.3074478356366306,-0.7278324085265699,-1.3602721728345886,0.34945307756647825
18,Vasco da Gama,1.0893288679532178,-0.5775280521866619,-1.0144864458726495,-0.7644602085394308,-0.3933805278620206,-0.5910888479985117,0.4441124895496739,-0.23514663695791488,0.24693160646107998,-0.16000674785401015,1.4076176567618979,-0.5953152655146043
19,Vitoria,-0.040249876581024316,0.03039621327298199,0.07938186309399482,-0.4421258415550487,-0.3597236012715659,-0.3972892257039176,0.7159189648910755,0.7553300155177084,1.3353773507933788,0.43079880248023233,-0.08558606709936482,-0.1524025273780954
